County,Raw Address,Notes,Name,source
Crawford,    640 Hwy 128. Roberta GA 31078,,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Crisp,"    210 S 7th St, Cordele, GA 31015",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dade,"    71 Case Ave, Trenton, GA 30752",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dawson,"96 Academy Avenue Dawsonville, GA 30534",On the right side of our building,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Decatur,"122 W Water St. Bainbridge, GA 39817",Outside,County Elections Office,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"4362 Peachtree Rd NE, Brookhaven, GA 30319",,Brookhaven City Hall,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"4331 River Rd., Ellenwood, GA 30294",,County Line-Ellenwood Library ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"2536 Mellville Ave, Decatur, GA 30032",,Sterling at Candler Village,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"    4380 Memorial Drive, Suite 300,
    Decatur GA 30032",There are 3 boxes at this location.,Voter Registration & Elections,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"2771 Columbia Drive Decatur, GA 30034",,Exchange Park,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"3120 Stonecrest Blvd., Stonecrest, GA 30038",,Stonecrest City Hall ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"875 Main Street, Stone Mountain, GA 30083",,City of Stone Mountain,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
