County,Location,Drop-Off Location?,Vote-Early Location?,Street Address 1,Street Address 2,City,Zip
Washington,Washington County Board of Elections,TRUE,FALSE,100 W. Beau St.,Suite 206,Washington,15301
Wayne,Wayne County Bureau of Elections,FALSE,TRUE,925 Court Street,,Honesdale,18431
Wayne,Wayne County Bureau of Elections,TRUE,FALSE,925 Court Street,,Honesdale,18431
Westmoreland,Westmoreland County Board of Elections,FALSE,TRUE,2 North Main Street,Suite 109,Greensburg,15601
Westmoreland,Westmoreland County Board of Elections,TRUE,FALSE,2 North Main Street,Suite 109,Greensburg,15601
Wyoming,Wyoming County Board of Elections,FALSE,TRUE,1 Courthouse Square,,Tunkhannock,18657
Wyoming,Wyoming County Board of Elections,TRUE,FALSE,1 Courthouse Square,,Tunkhannock,18657
York,York County Board of Elections,FALSE,TRUE,28 E. Market St.,,York,17401
York,York County Board of Elections,TRUE,FALSE,28 E. Market St.,,York,17401
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
,,FALSE,FALSE,,,,
