County,Location,Street Address 1,Street Address 2,City,Zip,Drop-Off Location,Vote-Early Location,County Website,Operating Hours,Additional Hours
Mercer,Mercer County Board of Elections,5 Mercer County Courthouse,NA,Mercer,16137,TRUE,TRUE,https://www.mcc.co.mercer.pa.us/Election/default.HTM,Monday - Friday: 8:30 am - 4:30 pm,
Mifflin,Mifflin County Board of Elections,20 N. Wayne St.,NA,Lewistown,17044,TRUE,TRUE,http://www.co.mifflin.pa.us/dept/VoterReg/Pages/default.aspx,Monday thru Friday: 8:00am - 4:00pm,
Monroe,Clymer Library,115 Firehouse Road,NA,Pocono Pines,18350,TRUE,FALSE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,NA,
Monroe,Hughes Public Library,1002 N 9th St.,NA,Stroudsburg,18360,TRUE,FALSE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,NA,
Monroe,Monroe County Office of Elections and Voter Registration,One Quaker Plaza,Room 105,Stroudsburg,18360,TRUE,TRUE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,8:30 AM to 4:30 PM Monday-Friday,
Monroe,Pocono Mountain Public Library,5500 Municipal Drive,NA,Tobyhannah,18466,TRUE,FALSE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,NA,
Monroe,Smithfield Township,1155 Red Fox Road,NA,East Stroudsburg,18301,TRUE,FALSE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,NA,
Monroe,Western Pocono Community Library,131 Pilgrim Way,NA,Broadheadsville,18322,TRUE,FALSE,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,NA,
Montgomery,Cheltenham Wall Park,1 Wall Park Drive,NA,Elkins,19027,TRUE,FALSE,https://www.montcopa.org/753/Voter-Services,"October 3rd - October 30th: Monday, Wednesday & Friday - 9:00 AM through 4:00 PM, Tuesday & Thursday - 11:00 AM through 6:00 PM, Saturday & Sunday - 11:00 AM through 4:00 PM, October 31st & November 1st: Saturday & Sunday - 10:00 AM through 6:00 PM, November 2nd & November 3rd: Monday & Tuesday - 9:00 AM through 8:00 PM
",
Montgomery,Lansdale Church Road Parking Lot,226 Station Square Blvd.,NA,Lansdale,19446,TRUE,FALSE,https://www.montcopa.org/753/Voter-Services,"October 3rd - October 30th: Monday, Wednesday & Friday - 9:00 AM through 4:00 PM, Tuesday & Thursday - 11:00 AM through 6:00 PM, Saturday & Sunday - 11:00 AM through 4:00 PM, October 31st & November 1st: Saturday & Sunday - 10:00 AM through 6:00 PM, November 2nd & November 3rd: Monday & Tuesday - 9:00 AM through 8:00 PM
",
